MAINTENANCE_ID,START_TIME,END_TIME,PART_TYPE,MAINTENANCE_LOCAL,MAINTENANCE_TYPE,SERVICE_NAME,OBSERVATION,PART_NUMBER,MACHINERY_ID,MACHINERY_HOURMETER,OPERATION,REPAIR_TIME,START_YEAR,START_MONTH,START_DATE_CONCAT,TIME_SINCE_LAST_REPAIR
79890,2020-03-25 10:00:00,2020-03-27 16:00:00,PARAFUSO,Cacimba,Preventiva,PARAFUSOS DIVERSOS,"Colocando proteção, ajuste da roda de medição, desamassar peito de aço e soldar ,limpeza geral ",14.0,HV 08,1891,Corte,54.0,2020,3,2020-3,0.0
79960,2020-05-20 14:30:00,2020-05-21 15:00:00,ELETRODOS,Cacimba,Corretiva,ELETRODO 6013 X 2.5MM,Batida em galhada/Mão de obra instalar tampa reformada ,6.0,HV 08,1980,Corte,24.0,2020,5,2020-5,89.0
81024,2020-08-13 13:30:00,2020-08-13 14:55:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Bateu terminal em galhadas,1.0,HV 08,2060,Corte,1.0,2020,8,2020-8,80.0
81046,2020-08-24 16:20:00,2020-08-24 16:50:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Prensada na galhada da teca,2.0,HV 08,2142,Corte,0.0,2020,8,2020-8,82.0
81046,2020-08-24 16:20:00,2020-08-24 16:50:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Prensada na galhada da teca,2.4,HV 08,2142,Corte,0.0,2020,8,2020-8,0.0
81057,2020-08-25 16:30:00,2020-08-25 17:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Falha na operacao,2.0,HV 08,2153,Corte,0.0,2020,8,2020-8,11.0
81057,2020-08-25 16:30:00,2020-08-25 17:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Falha na operacao,2.4,HV 08,2153,Corte,0.0,2020,8,2020-8,0.0
81057,2020-08-25 16:30:00,2020-08-25 17:00:00,PEÇAS TMO,,Corretiva,PINOS DIVERSOS TMO,Falha na operacao,1.0,HV 08,2153,Corte,0.0,2020,8,2020-8,0.0
81058,2020-08-26 11:00:00,2020-08-26 12:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Bateu na galhada ,2.0,HV 08,2156,Corte,1.0,2020,8,2020-8,3.0
81058,2020-08-26 11:00:00,2020-08-26 12:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Bateu na galhada ,1.5,HV 08,2156,Corte,1.0,2020,8,2020-8,0.0
81092,2020-09-08 13:10:00,2020-09-08 16:30:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Batel na galha da teca,0.4,HV 08,2223,Corte,3.0,2020,9,2020-9,67.0
81092,2020-09-08 13:10:00,2020-09-08 16:30:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Batel na galha da teca,2.0,HV 08,2223,Corte,3.0,2020,9,2020-9,0.0
81092,2020-09-08 13:10:00,2020-09-08 16:30:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Batel na galha da teca,0.5,HV 08,2223,Corte,3.0,2020,9,2020-9,0.0
81092,2020-09-08 13:10:00,2020-09-08 16:30:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Batel na galha da teca,2.0,HV 08,2223,Corte,3.0,2020,9,2020-9,0.0
81141,2020-09-08 08:10:00,2020-09-08 09:00:00,ELETRODOS,,Corretiva,"ELETRODO CROMO NIQUEL 2,5MM",Batida na teca ,1.0,HV 08,2233,Corte,0.0,2020,9,2020-9,10.0
81093,2020-09-14 08:10:00,2020-09-14 16:00:00,ELETRODOS,,Corretiva,"ELETRODO CROMO NIQUEL 2,5MM",Parafusos quebrados ,1.0,HV 08,2264,Corte,7.0,2020,9,2020-9,31.0
81094,2020-09-15 08:20:00,2020-09-15 12:00:00,PORCAS,,Corretiva,PORCAS DIVERSAS,Nip trincado,6.0,HV 08,2264,Corte,3.0,2020,9,2020-9,0.0
81094,2020-09-15 08:20:00,2020-09-15 12:00:00,PARAFUSO,,Corretiva,PARAFUSOS DIVERSOS,Nip trincado,6.0,HV 08,2264,Corte,3.0,2020,9,2020-9,0.0
81095,2020-09-16 08:20:00,2020-09-16 12:10:00,OLEOS E LUBRIFICANTES,,Corretiva,OLEO 10W30,Limpeza e troca de óleo ,28.0,HV 08,2276,Corte,3.0,2020,9,2020-9,12.0
81095,2020-09-16 08:20:00,2020-09-16 12:10:00,OLEOS E LUBRIFICANTES,,Corretiva,OLEO 68,Limpeza e troca de óleo ,5.0,HV 08,2276,Corte,3.0,2020,9,2020-9,0.0
81148,2020-09-21 14:30:00,2020-09-21 17:40:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/4""",Manguera rececada ,1.2,HV 08,2282,Corte,3.0,2020,9,2020-9,6.0
81149,2020-09-22 08:20:00,2020-09-22 12:00:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Repensarem de manguera 3/4,1.0,HV 08,2282,Corte,3.0,2020,9,2020-9,0.0
81148,2020-09-21 14:30:00,2020-09-21 17:40:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/4'',Manguera rececada ,2.0,HV 08,2282,Corte,3.0,2020,9,2020-9,0.0
81153,2020-09-24 08:30:00,2020-09-24 09:40:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/4""",Tempo de uso ,1.2,HV 08,2300,Corte,1.0,2020,9,2020-9,18.0
81153,2020-09-24 08:30:00,2020-09-24 09:40:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/4'',Tempo de uso ,2.0,HV 08,2300,Corte,1.0,2020,9,2020-9,0.0
81212,2020-09-28 08:10:00,2020-09-28 09:40:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Proteção cabeçote  ameaçada ,1.0,HV 08,2338,Corte,1.0,2020,9,2020-9,38.0
